year,month,value
1987,5,0.00035343500000000003
1987,6,0.00035227625
1987,7,0.000350207
1987,8,0.00034591250000000004
1987,9,0.000345389
1987,10,0.00034773625
1987,11,0.0003491275
1987,12,0.0003513
1988,1,0.000353045
1988,2,0.00035436999999999996
1988,3,0.000353853
1988,4,0.00035547
1988,5,0.00035603
1988,6,0.000355365
1988,7,0.00035154375000000004
1988,8,0.00035104300000000005
1988,9,0.000349515
1988,10,0.00035080625000000003
1988,11,0.000351914
1988,12,0.0003535825
1989,1,0.000354735
1989,2,0.00035571874999999997
1989,3,0.0003561425
1989,4,0.0003586625
1989,5,0.00035764
1989,6,0.00035655
1989,7,0.00035407500000000003
1989,8,0.0003495
1989,9,0.00034868
1989,10,0.000352405
1989,11,0.00035370875
1989,12,0.000357515
1990,1,0.00035638333333333337
1990,2,0.00035720375
1990,3,0.0003573366666666667
1990,4,0.00035895625
1990,5,0.00035853875
1990,6,0.00035685166666666663
1990,7,0.0003542275
1990,8,0.0003505516666666667
1990,9,0.0003507575
1990,10,0.0003522275
1990,11,0.00035495000000000004
1990,12,0.0003560666666666667
1991,1,0.00035831000000000003
1991,2,0.0003590383333333333
1991,3,0.00035903249999999997
1991,4,0.000360225
1991,5,0.0003609475
1991,6,0.00035843500000000005
1991,7,0.00035518
1991,8,0.00035515
1991,9,0.00035245999999999997
1991,10,0.0003552025
1991,11,0.00035546250000000003
1991,12,0.000357689
1992,1,0.00035854625
1992,2,0.00035933750000000005
1992,3,0.00036013249999999994
1992,4,0.00036067125
1992,5,0.00036087874999999995
1992,6,0.00035846200000000004
1992,7,0.000355255
1992,8,0.000354995
1992,9,0.000351877
1992,10,0.00035348625
1992,11,0.00035498875
1992,12,0.00035703600000000003
1993,1,0.00035848125
1993,2,0.00035935375
1993,3,0.000359173
1993,4,0.00036119875
1993,5,0.00036211
1993,6,0.00035930799999999997
1993,7,0.00035697833333333336
1993,8,0.00035407599999999994
1993,9,0.0003521825
1993,10,0.000354905
1993,11,0.00035708300000000006
1993,12,0.00035831875
1994,1,0.0003592125
1994,2,0.0003607125
1994,3,0.00036172
1994,4,0.0003628
1994,5,0.00036337399999999997
1994,6,0.00036117875
1994,7,0.0003578325
1994,8,0.00035606500000000003
1994,9,0.00035466375
1994,10,0.000356175
1994,11,0.000358347
1994,12,0.00035935625
1995,1,0.00036137999999999996
1995,2,0.00036275375
1995,3,0.0003624025
1995,4,0.0003642275
1995,5,0.000364426
1995,6,0.00036283625000000004
1995,7,0.000360045
1995,8,0.000357355
1995,9,0.00035679
1995,10,0.000358798
1995,11,0.00036129625
1995,12,0.0003615675
1996,1,0.00036394624999999995
1996,2,0.00036500125000000003
1996,3,0.00036610375000000004
1996,4,0.000366072
1996,5,0.0003664075
1996,6,0.00036509166666666665
1996,7,0.000363515
1996,8,0.00035987
1996,9,0.00035692374999999997
1996,10,0.0003589933333333333
1996,11,0.00036194125
1996,12,0.00036379
1997,1,0.00036533125
1997,2,0.00036549875
1997,3,0.000366495
1997,4,0.00036775
1997,5,0.00036770333333333336
1997,6,0.00036583875
1997,7,0.000362583
1997,8,0.0003603075
1997,9,0.0003585
1997,10,0.00036113
1997,11,0.00036375375000000006
1997,12,0.000366582
1998,1,0.000366115
1998,2,0.0003672025
1998,3,0.000367926
1998,4,0.00036976500000000004
1998,5,0.00037018375
1998,6,0.000367534
1998,7,0.0003636375
1998,8,0.00036480000000000003
1998,9,0.000363256
1998,10,0.00036528875
1998,11,0.00036729875
1998,12,0.000368088
1999,1,0.0003687075000000001
1999,2,0.0003689025
1999,3,0.00037016250000000006
1999,4,0.0003722975
1999,5,0.00037254249999999997
1999,6,0.000370664
1999,7,0.00036759625
1999,8,0.00036458
1999,9,0.00036457000000000004
1999,10,0.00036550625
1999,11,0.000367363
1999,12,0.00037002000000000004
2000,1,0.00036960625000000006
2000,2,0.000370135
2000,3,0.00037081
2000,4,0.00037242250000000003
2000,5,0.00037224199999999995
2000,6,0.00037102125
2000,7,0.0003691666666666667
2000,8,0.000366949
2000,9,0.00036551125
2000,10,0.00036672374999999994
2000,11,0.000369615
2000,12,0.00037062
2001,1,0.00037224875000000003
2001,2,0.00037246
2001,3,0.00037344125
2001,4,0.0003746
2001,5,0.00037465899999999995
2001,6,0.00037299375
2001,7,0.00036965125
2001,8,0.0003690039999999999
2001,9,0.00036671375
2001,10,0.000368287
2001,11,0.00037224999999999997
2001,12,0.0003716925
2002,1,0.0003739033333333333
2002,3,0.00037434875
2002,4,0.0003761275
2002,6,0.00037513499999999997
2002,7,0.000372995
2002,8,0.00036894
2002,9,0.000368075
2002,10,0.000371651
2002,11,0.000373605
2002,12,0.0003749516666666667
2003,1,0.00037665625
2003,2,0.00037742166666666666
2003,3,0.00037826000000000005
2003,4,0.000378367
2003,5,0.00037946666666666666
2003,6,0.00037716
2003,7,0.00037383375
